SenDist_en,SenDistPcode,SenDistRefName,SenDistAltName1_en,SenDistAltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Population2016
Osun East,NG03002,Osun East,<Null>,<Null>,Osun,NG030,Nigeria,NG,1697788 
Osun West,NG03003,Osun West,<Null>,<Null>,Osun,NG030,Nigeria,NG,1487583 
Oyo Central,NG03101,Oyo Central,<Null>,<Null>,Oyo,NG031,Nigeria,NG,2567254 
Oyo North,NG03102,Oyo North,<Null>,<Null>,Oyo,NG031,Nigeria,NG,2659574 
Oyo South,NG03103,Oyo South,<Null>,<Null>,Oyo,NG031,Nigeria,NG,2409294 
Plateau Central,NG03201,Plateau Central,<Null>,<Null>,Plateau,NG032,Nigeria,NG,1224841 
Plateau North,NG03202,Plateau North,<Null>,<Null>,Plateau,NG032,Nigeria,NG,1691566 
Plateau South,NG03203,Plateau South,<Null>,<Null>,Plateau,NG032,Nigeria,NG,1171631 
Rivers East,NG03301,Rivers East,<Null>,<Null>,Rivers,NG033,Nigeria,NG,2791458 
Rivers South East,NG03302,Rivers South East,<Null>,<Null>,Rivers,NG033,Nigeria,NG,1798463 
Rivers West,NG03303,Rivers West,<Null>,<Null>,Rivers,NG033,Nigeria,NG,2491491 
Sokoto East,NG03401,Sokoto East,<Null>,<Null>,Sokoto,NG034,Nigeria,NG,1950252 
Sokoto North,NG03402,Sokoto North,<Null>,<Null>,Sokoto,NG034,Nigeria,NG,1531181 
Sokoto South,NG03403,Sokoto South,<Null>,<Null>,Sokoto,NG034,Nigeria,NG,1398208 
Taraba Central,NG03501,Taraba Central,<Null>,<Null>,Taraba,NG035,Nigeria,NG,1122012 
Taraba North,NG03502,Taraba North,<Null>,<Null>,Taraba,NG035,Nigeria,NG,963072 
Taraba South,NG03503,Taraba South,<Null>,<Null>,Taraba,NG035,Nigeria,NG,899090 
Yobe East,NG03601,Yobe East,<Null>,<Null>,Yobe,NG036,Nigeria,NG,968230 
Yobe North,NG03602,Yobe North,<Null>,<Null>,Yobe,NG036,Nigeria,NG,1100632 
Yobe South,NG03603,Yobe South,<Null>,<Null>,Yobe,NG036,Nigeria,NG,1128434 
Zamfara Central,NG03701,Zamfara Central,<Null>,<Null>,Zamfara,NG037,Nigeria,NG,1609849 
Zamfara North,NG03702,Zamfara North,<Null>,<Null>,Zamfara,NG037,Nigeria,NG,1483184 
Zamfara West,NG03703,Zamfara West,<Null>,<Null>,Zamfara,NG037,Nigeria,NG,1283878 
